Team,Elo_rating
Brazil,2142
Germany,2077
Spain,2044
France,1987
Argentina,1986
Portugal,1970
England,1948
Belgium,1933
Colombia,1928
Peru,1915
Netherlands,1908
Uruguay,1894
Italy,1891
Switzerland,1890
Chile,1869
Denmark,1856
Croatia,1853
Mexico,1850
Poland,1829
Sweden,1795
Iran,1789
Serbia,1777
Wales,1777
Iceland,1764
United States,1756
Slovakia,1752
Costa Rica,1750
Ukraine,1750
Ecuador,1747
Paraguay,1746
Bosnia and Herzegovina,1745
Australia,1742
Austria,1742
Venezuela,1739
Senegal,1735
Morocco,1733
Republic of Ireland,1729
South Korea,1729
Turkey,1728
Romania,1727
Czech Republic,1713
Scotland,1709
Nigeria,1681
Russia,1678
Northern Ireland,1676
Japan,1666
Bolivia,1661
Panama,1659
Tunisia,1657
Egypt,1646
Greece,1646
Cameroon,1645
Ghana,1645
Norway,1640
Slovenia,1626
Bulgaria,1615
Syria,1606
Finland,1605
Ivory Coast,1602
Uzbekistan,1599
Burkina Faso,1597
Montenegro,1597
Saudi Arabia,1591
Honduras,1590
DR Congo,1589
Hungary,1576
Jamaica,1574
South Africa,1565
Albania,1560
Iraq,1550
Oman,1539
Canada,1534
China PR,1534
United Arab Emirates,1532
Israel,1527
Belarus,1522
Mali,1519
Macedonia,1518
Guatemala,1511
Algeria,1508
New Zealand,1503
Georgia,1497
Haiti,1494
Estonia,1497
Qatar,1486
Libya,1476
El Salvador,1471
Jordan,1471
Zimbabwe,1469
Lebanon,1459
North Korea,1457
Northern Cyprus,1456
Guinea,1455
Armenia,1454
Zambia,1445
Gabon,1439
Martinique,1439
Cape Verde,1435
Kosovo,1431
Kuwait,1430
